Date,Open,High,Low,Close,Adj Close,Volume
12/31/2025,152.39,152.55,151.67,152.41,152.41,"4,953,100"
12/30/2025,151.5,152.67,151.47,152.31,152.31,"5,150,500"
12/29/2025,151,151.64,150.09,150.99,150.99,"5,589,100"
12/26/2025,150.38,151.14,149.65,150.02,150.02,"3,706,900"
12/24/2025,150.38,150.99,150.1,150.5,150.5,"2,227,600"
12/23/2025,150.04,151.08,149.85,150.51,150.51,"4,663,700"
12/22/2025,148.81,150.49,148.7,149.8,149.8,"8,143,600"
12/19/2025,147.96,149.01,147.19,147.75,147.75,"21,701,400"
12/18/2025,148.85,149.27,147.08,147.69,147.69,"6,998,800"
12/17/2025,147.5,149.87,147.35,149.52,149.52,"8,805,300"
12/16/2025,148.54,148.82,146.49,146.75,146.75,"11,290,500"
12/15/2025,149.84,150.1,148.43,149.8,149.8,"7,503,000"
12/12/2025,151.15,151.55,149.63,149.99,149.99,"5,848,100"
12/11/2025,150.83,151.94,150.1,150.72,150.72,"8,414,200"
12/10/2025,149.18,151.8,148.7,151.41,151.41,"10,976,300"
12/9/2025,149.05,150.1,148.22,148.49,148.49,"8,916,700"
12/8/2025,149.25,150.07,147.66,148.71,148.71,"10,237,200"
12/5/2025,152,152.63,149.83,150,150,"12,659,800"
12/4/2025,151.75,152.94,151.22,152.26,152.26,"7,254,700"
12/3/2025,151.04,152.5,150.98,151.59,151.59,"8,060,200"
12/2/2025,152.02,152.46,149.26,150.25,150.25,"9,196,300"
12/1/2025,151.75,153.95,151.5,152.54,152.54,"8,209,000"
11/28/2025,149.46,151.52,149.26,151.13,151.13,"3,848,600"
11/26/2025,148.26,150.46,148.2,149.51,149.51,"7,578,900"
11/25/2025,148.9,149.9,148.27,148.53,148.53,"11,447,900"
11/24/2025,149.82,150.12,147.74,149.75,149.75,"14,181,100"
11/21/2025,150.44,151.01,148.75,149.98,149.98,"9,248,400"
11/20/2025,152.54,153.04,150.05,150.31,150.31,"7,623,400"
11/19/2025,151.16,151.96,150.25,151.7,151.7,"7,539,900"
11/18/2025,152.5,154.28,151.76,153.62,153.62,"10,813,400"
11/17/2025,157.72,157.89,154.44,154.82,153.11,"8,745,000"
11/14/2025,156.23,157.95,154.81,157.62,155.88,"8,484,800"
11/13/2025,154,156.2,153.93,155.58,153.86,"7,998,700"
11/12/2025,155.58,155.79,152.08,153.32,151.63,"11,670,900"
11/11/2025,156.75,157.99,155.9,156.24,154.51,"6,361,400"
11/10/2025,155.42,155.98,152.37,155.65,153.93,"8,436,800"
11/7/2025,153.43,156.17,153.43,155.02,153.31,"9,835,900"
11/6/2025,152.91,154.79,152.68,152.94,151.25,"6,466,300"
11/5/2025,153.53,154.4,152.66,152.66,150.97,"5,894,700"
