Date,Open,High,Low,Close ,Adj Close,Volume
12/31/2025,70.07,70.16,69.88,69.91,69.91,"8,127,800"
12/30/2025,70,70.24,69.8,70.07,70.07,"8,610,900"
12/29/2025,70,70.42,69.85,70.16,70.16,"9,686,900"
12/26/2025,69.95,70.16,69.73,69.87,69.87,"5,711,400"
12/24/2025,69.9,70.16,69.75,70.11,70.11,"4,515,300"
12/23/2025,70.2,70.26,69.69,69.87,69.87,"9,471,000"
12/22/2025,69.93,70.22,69.66,70.21,70.21,"12,828,500"
12/19/2025,70.06,70.77,70.03,70.06,70.06,"36,911,100"
12/18/2025,70.27,70.8,70.17,70.36,70.36,"15,524,800"
12/17/2025,70.57,70.92,70.31,70.67,70.67,"13,672,700"
12/16/2025,71.3,71.3,70.32,70.37,70.37,"17,370,000"
12/15/2025,70.43,71.32,70.32,70.97,70.97,"18,660,100"
12/12/2025,69.11,70.62,69.04,70.52,70.52,"18,444,500"
12/11/2025,70.55,70.69,68.79,69.11,69.11,"23,124,200"
12/10/2025,70.39,70.53,69.78,70.21,70.21,"29,789,400"
12/9/2025,70.37,70.63,69.83,70.09,70.09,"13,010,600"
12/8/2025,69.84,70.38,69.49,70.25,70.25,"17,775,100"
12/5/2025,70.32,70.71,69.87,70,70,"13,978,200"
12/4/2025,70.83,71.34,70.37,70.45,70.45,"17,710,000"
12/3/2025,70.88,71.4,70.61,70.81,70.81,"17,001,700"
12/2/2025,71.8,71.8,70.43,70.67,70.67,"19,871,300"
12/1/2025,72.6,72.91,71.93,71.95,71.95,"14,388,100"
11/28/2025,73,73.23,72.76,73.12,72.61,"7,423,000"
11/26/2025,72.6,73.09,72.39,72.88,72.37,"11,795,100"
11/25/2025,72.8,72.93,72.14,72.61,72.1,"17,451,200"
11/24/2025,73.16,73.16,71.57,72.59,72.08,"39,818,600"
11/21/2025,71.68,73.19,71.49,72.95,72.44,"26,492,500"
11/20/2025,70.95,71.48,70.61,71.21,70.71,"15,396,500"
11/19/2025,71.2,71.45,70.81,71.11,70.61,"12,401,500"
11/18/2025,70.99,71.34,70.57,71.22,70.72,"12,838,900"
11/17/2025,71.2,71.53,70.62,70.68,70.19,"14,772,300"
11/14/2025,71.41,71.64,70.6,71.16,70.66,"13,172,000"
11/13/2025,71.42,71.67,71,71.07,70.57,"14,002,800"
11/12/2025,71.49,71.89,71.34,71.51,71.01,"13,612,600"
11/11/2025,70.98,71.75,70.66,71.61,71.11,"16,160,200"
11/10/2025,70.01,70.66,69.44,70.52,70.03,"15,318,000"
11/7/2025,69.81,70.87,69.41,70.55,70.06,"25,108,300"
11/6/2025,68.3,69.14,67.92,69.06,68.58,"15,906,700"
11/5/2025,68.66,68.83,68.18,68.51,68.03,"12,850,100"
11/4/2025,68.47,68.73,68.16,68.66,68.18,"12,743,800"
11/3/2025,68.8,68.89,67.66,67.97,67.5,"15,660,400"
10/31/2025,68.55,69.07,67.9,68.9,68.42,"16,742,700"
10/30/2025,68.45,69.29,68.39,68.98,68.5,"14,751,700"
10/29/2025,69.92,70.03,68.16,68.35,67.87,"19,789,600"
10/28/2025,70.05,70.9,69.95,70.16,69.67,"12,730,500"
10/27/2025,69.78,70.12,69.25,70.06,69.57,"13,800,000"
10/24/2025,69.91,70.05,69.65,69.71,69.22,"15,688,200"
10/23/2025,70.81,70.93,69.72,69.94,69.45,"13,989,400"
10/22/2025,71.36,71.62,70.51,70.81,70.32,"18,293,000"
10/21/2025,70.57,71.39,70.23,71.22,70.72,"33,651,300"
10/20/2025,68.43,68.64,67.92,68.44,67.96,"17,786,800"
10/17/2025,68,68.5,67.8,68.44,67.96,"15,541,800"
10/16/2025,67.18,68.11,67.16,67.59,67.12,"15,707,200"
10/15/2025,67.27,67.72,66.92,67.08,66.61,"11,193,700"
10/14/2025,66.87,67.57,66.75,67.51,67.04,"14,245,600"
10/13/2025,66.23,66.8,66,66.8,66.33,"13,690,000"
10/10/2025,66.52,67.4,66.38,67.04,66.57,"17,991,700"
10/9/2025,66.29,66.8,66.12,66.37,65.91,"12,705,200"
10/8/2025,66.67,66.87,66.06,66.12,65.66,"12,606,700"
10/7/2025,66.22,67.26,65.87,66.79,66.32,"13,328,300"
10/6/2025,66.49,66.5,65.84,66.1,65.64,"14,333,300"
10/3/2025,66.1,66.99,66.04,66.65,66.19,"12,249,200"
10/2/2025,66.53,66.65,65.86,66.1,65.64,"14,350,700"
10/1/2025,66.51,66.83,66.29,66.78,66.31,"14,877,500"
9/30/2025,66.07,66.64,65.96,66.32,65.86,"13,815,000"
9/29/2025,65.67,66.1,65.35,66.04,65.58,"14,818,500"
9/26/2025,66.07,66.33,65.5,65.67,65.21,"17,821,600"
9/25/2025,66.75,66.92,65.95,65.98,65.52,"14,395,000"
9/24/2025,66.41,66.78,65.96,66.45,65.99,"14,759,300"
9/23/2025,66.35,66.76,65.9,66.71,66.24,"15,072,800"
9/22/2025,66.16,66.59,66.08,66.21,65.75,"13,298,700"
9/19/2025,66.49,66.73,66.05,66.43,65.97,"31,192,900"
9/18/2025,66.8,67.04,66.35,66.46,66,"17,722,900"
9/17/2025,66.41,67.13,66.41,67.04,66.57,"17,372,300"
9/16/2025,66.35,66.51,66.06,66.24,65.78,"18,555,900"
9/15/2025,66.68,66.78,66.1,66.21,65.75,"15,986,100"
9/12/2025,67.6,67.72,66.94,67.01,66.04,"18,712,400"
9/11/2025,67.92,68.17,67.58,67.62,66.64,"15,128,700"
9/10/2025,67.79,68.09,67.21,67.82,66.83,"16,041,900"
9/9/2025,67.28,68.11,67.28,67.86,66.87,"14,120,600"
9/8/2025,67.86,67.88,67.16,67.43,66.45,"21,671,700"
9/5/2025,68.01,68.58,67.87,67.96,66.97,"23,978,000"
9/4/2025,69.11,69.46,68.11,68.25,67.26,"16,736,000"
9/3/2025,68.66,69.1,67.37,68.99,67.99,"33,581,500"
9/2/2025,68.96,69.34,68.26,69.06,68.06,"24,770,100"
8/29/2025,68.67,69.14,68.43,68.99,67.99,"14,601,100"
8/28/2025,68.88,68.9,68.28,68.36,67.37,"16,209,900"
8/27/2025,68.82,68.87,68.47,68.83,67.83,"11,562,700"
8/26/2025,69.04,69.08,68.58,68.73,67.73,"17,964,200"
8/25/2025,70.11,70.23,68.72,68.93,67.93,"13,634,600"
8/22/2025,70.96,71.02,69.92,70.13,69.11,"12,999,600"
8/21/2025,70.6,70.91,70.33,70.66,69.63,"8,840,400"
8/20/2025,70.74,71.71,70.41,70.7,69.67,"17,530,800"
8/19/2025,69.3,70.22,69.24,70.13,69.11,"13,862,200"
8/18/2025,69.98,70.05,69.05,69.13,68.13,"14,094,900"
8/15/2025,69.74,70.39,69.57,69.92,68.9,"12,381,100"
8/14/2025,70.38,70.46,69.39,69.55,68.54,"10,722,400"
8/13/2025,70.69,70.77,70.23,70.46,69.44,"10,356,500"
8/12/2025,70.82,71.06,70.22,70.71,69.68,"11,061,100"
8/11/2025,70.3,70.86,69.96,70.75,69.72,"10,909,400"
8/8/2025,70.36,70.87,70.08,70.34,69.32,"9,232,700"
8/7/2025,69.46,70.72,69.33,70.43,69.41,"15,790,800"
8/6/2025,69.12,69.8,68.63,69.51,68.5,"10,783,000"
8/5/2025,68.9,69.49,68.75,69.05,68.05,"11,993,400"
8/4/2025,68.72,69.08,68.31,68.96,67.96,"10,701,500"
8/1/2025,68.6,69.04,68.27,68.86,67.86,"16,107,500"
7/31/2025,68.15,68.65,67.74,67.89,66.9,"17,193,400"
7/30/2025,69.11,69.33,68.53,68.75,67.75,"10,448,200"
7/29/2025,68.34,69.42,68.15,69.38,68.37,"16,223,400"
7/28/2025,68.74,68.9,68.06,68.09,67.1,"13,668,800"
7/25/2025,69.13,69.23,68.75,69.17,68.16,"12,574,800"
7/24/2025,69.26,69.55,68.99,69.1,68.1,"12,511,400"
7/23/2025,69.66,69.74,68.6,69.16,68.15,"21,030,000"
7/22/2025,69.45,70.26,68.69,69.66,68.65,"22,339,900"
7/21/2025,70.19,70.62,69.93,70.07,69.05,"17,811,700"
7/18/2025,70.44,70.7,69.83,69.85,68.83,"14,928,000"
7/17/2025,69.81,70.69,69.51,70.59,69.56,"20,464,700"
