Date,Open,High,Low,Close ,Adj Close,Volume
12/31/2025,143.83,144.03,143.16,143.52,143.52,"4,380,300"
12/30/2025,143.97,145.27,143.92,144.16,144.16,"4,713,800"
12/29/2025,143.74,145.05,143.6,144.24,144.24,"7,201,900"
12/26/2025,143.56,143.94,143.09,143.78,143.78,"4,975,500"
12/24/2025,143.79,143.99,142.95,143.74,143.74,"2,618,700"
12/23/2025,147.19,147.19,143.56,143.68,143.68,"7,254,800"
12/22/2025,147.53,148.98,146.41,147.05,147.05,"8,818,700"
12/19/2025,149.15,149.89,147.9,148.16,148.16,"17,543,500"
12/18/2025,149.8,150.37,149.25,149.37,149.37,"6,643,200"
12/17/2025,150.38,151.24,149.48,150.08,150.08,"8,067,100"
12/16/2025,151.99,152.35,149.99,150.37,150.37,"7,520,300"
12/15/2025,150.94,151.7,150.28,151.22,151.22,"8,409,600"
12/12/2025,149.75,150.67,148.74,150.65,150.65,"8,143,100"
12/11/2025,150.15,150.89,148.13,149.04,149.04,"7,854,000"
12/10/2025,147.77,149.78,147,149.7,149.7,"18,526,400"
12/9/2025,146.35,147.56,143.91,144.64,144.64,"10,035,200"
12/8/2025,145.01,146.56,144.2,145.63,145.63,"6,327,400"
12/5/2025,145.62,145.8,144.51,145.02,145.02,"5,971,300"
12/4/2025,147.75,148.25,146.13,146.91,145.49,"6,803,000"
12/3/2025,148.69,150.7,147.91,148.06,146.63,"5,109,200"
12/2/2025,149.46,149.51,146.53,148.61,147.17,"6,830,300"
12/1/2025,148.63,149.82,148.51,149.51,148.06,"7,623,300"
11/28/2025,147.23,148.82,147.23,148.74,147.3,"2,969,300"
11/26/2025,146.32,148.47,146.23,147.98,146.55,"5,180,600"
11/25/2025,145.93,147.12,145.57,146.11,144.69,"8,954,000"
11/24/2025,145.83,146.34,144.76,145.5,144.09,"9,391,400"
11/21/2025,146.28,148.94,145.98,146.33,144.91,"7,911,800"
11/20/2025,146.6,147.08,144.9,146.1,144.68,"6,878,900"
11/19/2025,148.3,148.8,146.69,147.11,145.69,"8,123,200"
11/18/2025,148.3,149.83,147.45,148.77,147.33,"10,821,500"
11/17/2025,146.12,148.11,145.22,147.83,146.4,"7,320,200"
11/14/2025,145.89,146.84,143.93,145.85,144.44,"5,770,500"
11/13/2025,144.1,146.39,143.65,145.02,143.62,"6,663,300"
11/12/2025,144.56,145.5,144.06,144.39,142.99,"5,790,100"
11/11/2025,143.28,145.76,142.68,145.08,143.67,"7,683,600"
11/10/2025,142.49,143.02,141.26,142.62,141.24,"6,617,500"
11/7/2025,142.93,144.05,141.65,142.95,141.57,"7,592,300"
11/6/2025,142.41,143.21,141.3,141.58,140.21,"6,449,400"
11/5/2025,142.9,143.28,141.58,142.86,141.48,"7,136,400"
11/4/2025,144.7,144.93,142.06,142.9,141.52,"8,302,900"
11/3/2025,145.86,145.91,143.25,143.6,142.21,"8,331,500"
10/31/2025,146.2,147,145.3,146.09,144.67,"6,313,600"
10/30/2025,146.34,148.09,146.25,147.55,146.12,"5,752,700"
10/29/2025,148.05,148.66,143.67,146.16,144.74,"7,767,600"
10/28/2025,151.41,153.21,149.92,150.12,148.67,"5,626,500"
10/27/2025,151.01,152.87,150.96,152.63,151.15,"4,744,600"
10/24/2025,152.04,152.42,151.27,151.55,150.08,"3,580,200"
10/23/2025,153.17,153.4,151.03,151.51,150.04,"6,091,800"
10/22/2025,153.15,155.18,152.71,153.03,151.55,"6,486,000"
10/21/2025,154.7,155.19,152.84,153.18,151.7,"5,614,300"
10/20/2025,154.42,154.42,152.72,153.64,152.15,"4,810,600"
