Date,Open,High,Low,Close ,Adj Close,Volume
12/31/2025,121.18,121.26,119.87,120.34,119.54,"10,559,900"
12/30/2025,121.1,121.8,120.63,120.99,120.19,"11,150,500"
12/29/2025,120.15,121.3,119.4,120.53,119.73,"14,782,500"
12/26/2025,118.89,119.55,118.53,119.11,118.32,"8,066,100"
12/24/2025,119.33,120.05,119.12,119.22,118.43,"6,137,400"
12/23/2025,118.47,120.03,118.32,119.42,118.63,"12,567,600"
12/22/2025,117.34,118.46,117.34,118.15,117.37,"11,768,600"
12/19/2025,116.75,117.57,115.96,116.69,115.92,"45,412,800"
12/18/2025,116.99,116.99,115.63,116.54,115.77,"13,705,600"
12/17/2025,115.21,117.62,115.17,117.41,116.63,"18,502,200"
12/16/2025,116.77,116.84,114.61,114.68,113.92,"17,638,700"
12/15/2025,119.01,119.03,116.85,117.76,116.98,"16,358,700"
12/12/2025,119.44,119.92,118.31,118.82,118.03,"14,459,500"
12/11/2025,119.11,120.36,119.07,119.54,118.75,"14,781,800"
12/10/2025,118.73,119.87,118.37,119.54,118.75,"19,845,200"
12/9/2025,116.9,120.47,116.89,118.25,117.47,"23,790,800"
12/8/2025,115.83,117,115.04,115.98,115.21,"14,904,200"
12/5/2025,116.75,118.78,116.41,116.54,115.77,"12,516,900"
12/4/2025,117.5,118.34,116.66,117.14,116.36,"13,686,900"
12/3/2025,115.95,117.98,115.88,117.8,117.02,"16,819,100"
12/2/2025,116.44,116.6,114.69,115.38,114.62,"14,607,700"
12/1/2025,116.1,117.41,116.1,116.63,115.86,"12,658,100"
11/28/2025,114.95,118.74,114.82,115.92,115.15,"7,240,800"
11/26/2025,114.41,115.74,114.31,114.77,114.01,"11,650,600"
11/25/2025,115.18,115.9,114.19,114.51,113.75,"14,434,600"
11/24/2025,117.2,117.2,114.74,115.97,115.2,"18,034,900"
11/21/2025,116.99,117.38,115.65,117.08,116.3,"15,667,600"
11/20/2025,117.98,119.01,116.74,117.02,116.25,"14,401,000"
11/19/2025,116.85,118.18,115.93,117.35,116.57,"15,919,200"
11/18/2025,117.26,119.48,116.48,119.03,118.24,"15,808,500"
11/17/2025,118.97,119.5,117.11,117.68,116.9,"16,034,900"
11/14/2025,118.45,119.48,116.66,119.29,118.5,"17,064,300"
11/13/2025,118.63,119.76,118.28,118.79,116.98,"17,291,900"
11/12/2025,119.1,119.28,117.79,118.12,116.32,"13,790,900"
11/11/2025,118.83,120.81,118.83,119.78,117.96,"16,077,100"
11/10/2025,117.44,118.45,115.46,118.22,116.42,"13,048,000"
11/7/2025,115.21,117.51,114.9,117.22,115.43,"17,181,100"
11/6/2025,113.64,114.94,113.64,114.5,112.76,"14,219,700"
11/5/2025,114.09,115.18,113.67,113.68,111.95,"12,400,900"
11/4/2025,113.38,114.35,112.51,114.14,112.4,"16,860,700"
11/3/2025,114.5,114.99,113.64,113.76,112.03,"12,290,300"
10/31/2025,113.98,115.23,112.62,114.36,112.62,"20,213,400"
10/30/2025,116.43,116.52,114.53,114.69,112.94,"16,172,900"
10/29/2025,114.92,117.05,114.81,116.45,114.68,"12,570,600"
10/28/2025,115.49,116.18,114.99,115.03,113.28,"9,535,200"
10/27/2025,115.7,115.99,115.1,115.94,114.17,"10,975,400"
10/24/2025,116.35,116.47,115.18,115.39,113.63,"9,919,400"
10/23/2025,116.63,116.85,115.36,115.98,114.21,"15,001,100"
10/22/2025,113.45,115.18,113.08,114.71,112.96,"12,938,800"
10/21/2025,112.89,113.36,111.99,112.71,110.99,"9,202,300"
10/20/2025,112,113.15,111.98,112.7,110.98,"9,523,600"
10/17/2025,111.63,112.91,111.18,112.24,110.53,"13,460,100"
10/16/2025,111.88,112.19,110.39,110.64,108.95,"11,782,200"
10/15/2025,112.8,113.57,110.97,111.61,109.91,"12,182,900"
10/14/2025,110.76,112.96,110.71,112.29,110.58,"11,167,200"
