date,pair,spread_model,ml_model,feature_set,n_features,z_score,label,prediction_probability,threshold,ML_signal
2011-02-10,KO-PEP,Kalman,knn,minimal,5,2.0673568665359388,0.0,0.6,0.5499999999999999,1
2011-02-18,KO-PEP,Kalman,knn,minimal,5,2.1716393787216473,0.0,0.6,0.5499999999999999,1
2011-03-16,KO-PEP,Kalman,knn,minimal,5,-2.4908193863234014,1.0,0.7,0.5499999999999999,1
2011-04-12,KO-PEP,Kalman,knn,minimal,5,-2.0518785563229844,0.0,0.6,0.5499999999999999,1
2011-04-26,KO-PEP,Kalman,knn,minimal,5,-2.290733443992853,0.0,0.7,0.5499999999999999,1
2011-04-28,KO-PEP,Kalman,knn,minimal,5,-2.8593126648460085,0.0,0.6,0.5499999999999999,1
2011-07-19,KO-PEP,Kalman,knn,minimal,5,2.487502051041819,0.0,0.6,0.5499999999999999,1
2011-07-21,KO-PEP,Kalman,knn,minimal,5,4.14480647221862,1.0,0.9,0.5499999999999999,1
2011-07-22,KO-PEP,Kalman,knn,minimal,5,3.698668233170638,1.0,0.6,0.5499999999999999,1
2011-07-25,KO-PEP,Kalman,knn,minimal,5,3.371505108103721,1.0,0.7,0.5499999999999999,1
2011-07-26,KO-PEP,Kalman,knn,minimal,5,2.4045948109055386,1.0,0.8,0.5499999999999999,1
2011-08-04,KO-PEP,Kalman,knn,minimal,5,-2.600492657185379,1.0,0.4,0.5499999999999999,0
2011-08-05,KO-PEP,Kalman,knn,minimal,5,-2.00970152304174,1.0,0.6,0.5499999999999999,1
2011-09-07,KO-PEP,Kalman,knn,minimal,5,3.1585654349710923,1.0,0.8,0.5499999999999999,1
2011-09-08,KO-PEP,Kalman,knn,minimal,5,2.830183898391175,1.0,0.8,0.5499999999999999,1
2011-09-22,KO-PEP,Kalman,knn,minimal,5,-3.089821552967072,0.0,0.5,0.5499999999999999,0
2011-09-23,KO-PEP,Kalman,knn,minimal,5,-2.0042300373024227,0.0,0.7,0.5499999999999999,1
2011-10-03,KO-PEP,Kalman,knn,minimal,5,-2.2067571869290674,1.0,0.6,0.5499999999999999,1
